正式版本,临时版本,修改人,更改需求、问题及现象,原因分析,更改内容,测试方案,邦普验证时间,邦普验证负责人
/,V100B01A,张宇,水箱电热热水水箱最高温度限制调整,客户需求,水箱电热取消65℃限制，开放到80℃,水箱最高温度是否为80℃,2023-02-11,邝杰洪
/,V100B01A,邝杰洪,参数范围优化,程序优化,【变频水泵】参数【水泵目标转速】、【水泵目标流量】的最小值和最大值需根据【变频水泵编码】自适应,设置不同型号变频水泵，查看参数【水泵目标转速】、【水泵目标流量】可设范围是否正确,2023-02-12,张宇
/,V100B01A,邝杰洪,用电计量功能,程序优化,增加：压机、水泵、风机、电热总用电计量，默认不使用,测试用电计量功能计算是否正确,2023-02-14,张宇
/,V100B01A,张宇,制热出温上限优化,客户需求,修改：“制热出温上限”分段环温由固定值改为参数可设,测试“制热出温上限”分段环温参数设置是否正确,2023-02-16,邝杰洪
/,V100B01A,邝杰洪,BMS协议,客户需求,增加：BMS协议新增A区、B区、热水防冻标志,测试相应的BMS地址是否正确,2023-02-18,张宇
/,V100B01A,邝杰洪,水箱电热功能,程序优化,优化：智能电网开启水箱电热时，取消环温条件限制,测试智能电网开启时，有无环温限制,2023-02-23,张宇
/,V100B01A,邝杰洪,新增探头配置,客户需求,增加：【温度探头配置】新增温度探头配置”50K3950/5K3470“,测试参数【温度探头配置】是否有选项”50K3950/5K3470“,2023-03-02,张宇
/,V100B01A,张宇,固化参数,客户需求,按需修改,测试相应机型及参数显示正确,2023-03-07,邝杰洪
/,V100B01A,张宇,固化参数,客户需求,按需修改,测试相应机型及参数显示正确,2023-03-13,邝杰洪
/,V100B01A,邝杰洪,辅助电热功能,程序优化,优化：辅助电热关闭条件由水箱电热限制改为不能由同区开启,测试辅助电热关闭条件是否正确,2023-03-15,张宇
/,V100B01A,邝杰洪,参数名称优化,客户需求,优化：制热转速上限表对应参数名称,检查改后的参数名称,2023-03-15,张宇
/,V100B01A,邝杰洪,BMS协议,客户需求,增加：【电热热水上限】及室内温度探头BMS协议,"1、检查参数【电热热水上限】范围
2、测试相应的BMS地址是否正确",2023-03-16,张宇
/,V100B02A,张宇,固化参数,客户需求,按需修改,测试相应机型及参数显示正确,2023-03-18,邝杰洪
/,V100B02A,张宇,BMS通讯,程序优化,优化：内机与线控器通讯中断，清空室内温度值,测试内机与线控器通讯中断后，是否还有室内温度值残留,2023-03-18,邝杰洪
/,V100B02A,邝杰洪,增加底盘电热2,客户需求,增加：底盘电热2,测试底盘电热2动作是否正常,2023-03-19,张宇
/,V100B02A,邝杰洪,变频水泵型号,程序优化,增加：格兰富水泵,测试【变频水泵编码】是否有相应水泵,2023-04-01,张宇
/,V100B02A,邝杰洪,级联辅助电热优化,程序优化,优化：级联时制冷制热模块的辅助电热开启控制,测试级联时制冷制热模块是否可正常开启辅助电热,2023-04-01,张宇
/,V100B02A,张宇,探头使能,客户需求,增加：总出水温度探头使用禁用,测试总出水温度探头禁用使用功能是否正常,2023-04-06,邝杰洪
/,V100B02A,邝杰洪,固化参数,客户需求,按需修改,测试相应机型及参数显示正确,2023-04-16,张宇
/,V100B02B,邝杰洪,水泵运行模式,客户需求,"1、开放：参数【水泵运行模式】、【水泵间歇停时长】
2、增加：变频水泵间歇运行功能","1、检查参数【水泵运行模式】、【水泵间歇停时长】是否开放可设
2、测试空调时，变频水泵间歇运行动作正常
3、测试空调+热水时，变频水泵间歇运行动作正常",2023-04-26,张宇
/,V100B02C,邝杰洪,试运行功能,程序优化,"1、优化：空气排空试运行时变频水泵一直运行
2、优化：水泵试运行时变频水泵一直运行","1、测试空气排空试运行，检查变频水泵是否一直运行
2、测试水泵试运行，检查变频水泵是否一直运行",2023-04-28,张宇
V100B02,/,邝杰洪,"1、驱动转速上下限下发优化
2、版本转正",客户需求,"1、按需修改
2、修改版本号，归档V100B02","1、测试驱动转速上下限下发优化是否生效
2、测试版本号是否正确",2023-05-10,张宇
/,V100B03A,张宇,BMS协议调整,客户需求,"1、开放历史故障记录
2、开放能调目标温度&能调控制温度","1、测试通过BMS读取历史故障记录是否成功
2、测试通过BMS读取能调目标温度、能调控制温度",2023-05-15,邝杰洪
/,V100B03A,张宇,固化参数,客户需求,按需修改,测试参数是否正确,2023-05-25,邝杰洪
V100B03,/,邝杰洪,"1、功能优化
2、版本转正",程序优化、客户需求,"1、修改【定时除霜间隔】最大值由18改为9
2、修改【制热除霜间隔A】、【制热除霜间隔B】、【制热除霜间隔E】、【制热除霜间隔G】最大值由999改为540
3、修改版本号，归档V100B03","1、将【定时除霜间隔】设为最大值，测试时间条件是否有效
2、测试版本号是否正确",2023-05-30,张宇
